,rng_tp_mean,rng_tp_std,test_tm,deeptune_tp_mean,deeptune_tp_std,deeptune_tm,bayes-opt_tp_mean,bayes-opt_tp_std,bayes-opt_tm
86,8677.1971,14958.322834085799,2535.015143627074,18530.1295,18948.123985495313,2518.431900356699,12804.104599999999,17494.74331407497,2639.2652640284564
87,8676.9865,14958.442467281771,2564.272803949875,18958.9533,19013.08823312026,2547.6815912665393,12807.606999999996,17500.695148545128,2670.15630023436
88,8796.6543,14947.540947937907,2593.5156515639137,19229.8937,18933.910065627366,2577.093556808991,12485.947,17434.04214687893,2700.8304408591102
89,8908.366,14924.326747357818,2622.5042449078114,19596.993000000002,19027.901986106852,2606.488356928141,12109.358800000002,17288.698228778205,2731.047444446996
90,8909.861499999999,14923.441661949122,2651.5823739347916,19870.019099999998,18942.62510269799,2635.630174025014,12109.201000000001,17288.807268229088,2761.437407332466
91,8506.8029,14563.936431780408,2680.648410704026,19856.1404,18956.661862655088,2664.8629952249985,12039.4028,17182.109420821653,2792.0248638652656
92,8882.0391,14856.62424750832,2709.9244229192336,19973.963099999997,18942.83534548578,2694.0841120742652,12041.013900000002,17180.988244749537,2822.6919140214522
93,8795.1708,14882.195504027399,2739.2064436824303,19973.981,18942.816473935625,2723.513563572844,12456.917200000002,17390.17633361767,2854.083511486767
94,8811.503600000002,14886.586143131304,2768.2480789985693,20403.0293,18975.215598137864,2752.947860852001,12456.643500000004,17390.369817676874,2884.3964716758765
95,8823.6437,14880.038507323,2797.5614597110107,20810.226000000002,19000.024413103474,2782.142991718296,12679.976400000001,17390.244027223685,2914.8129891661956
96,8836.225300000002,14873.228930715648,2826.5992330285244,21213.4188,19032.457267099133,2811.6129390506103,12681.794100000001,17388.92840442177,2945.3962949486904
97,8716.615500000002,14894.28490997526,2855.868209424518,21656.051500000005,19052.278652583966,2840.8074599476986,12387.9531,17200.282145785906,2976.057440104984
98,8417.1437,14487.741546449652,2885.019117167182,22078.773100000002,19039.385101610907,2870.231991591953,12386.4849,17201.33304672138,3006.145590355582
99,8417.207800000002,14487.705041179612,2914.0633801865297,22114.2681,19071.964333323125,2899.538662007041,12386.494200000001,17201.32643196188,3036.8122772621828
100,8417.582900000001,14487.491377632658,2943.0791624716185,22493.0615,19005.07753645748,2928.7391285347658,12385.785600000001,17201.830690530835,3066.9440904787443
101,8745.5656,14666.313922784027,2972.133101295003,22856.5258,18921.666989219484,2957.9092973402403,12811.689500000002,17415.868574100656,3097.0887938246815
102,9003.6414,14737.11107951779,3001.297436584408,23275.717599999996,18878.21836594879,2987.119896720418,12811.5546,17415.966594852172,3127.822287906582
103,8991.3484,14743.961379692277,3030.5458643832253,23358.6894,18944.609693259023,3016.439483274395,12751.8754,17439.346710796905,3157.850340167527
104,9021.294,14728.705357713556,3059.4810967873846,23803.869799999997,18917.097006890563,3045.8457584776925,13176.8026,17640.085930083824,3188.463385386399
105,9021.083900000001,14728.831572810715,3088.695333060392,23811.7542,18925.38487129079,3074.9366960953985,12922.5159,17599.571896314985,3218.8629627791724
106,9126.903000000002,14701.64093442351,3117.809140975092,23648.007400000002,18826.275272402167,3104.308419283994,12499.846800000001,17391.685999832906,3249.4804053851108
107,9126.859300000004,14701.667637517472,3147.0189734150504,24082.0909,18779.845728971744,3133.578848893259,12581.561200000004,17514.925645442763,3280.848493163738
108,9444.387200000003,14906.773401214366,3176.0848541214923,24447.940300000002,18663.20839148095,3162.9482002903555,12581.398200000003,17515.041234558677,3312.2176551774005
109,9417.717700000001,14920.93451408784,3204.8794874944188,24642.432999999997,18509.551609043232,3192.1721374943713,12153.857400000003,17290.10072820836,3342.6289388932682
110,9483.113000000001,15057.398750494356,3234.039527767785,25008.989399999995,18383.778748383687,3221.1247708596684,12154.084800000002,17289.942893327872,3373.3160294233635
111,9495.4888,15050.242420182893,3263.1457587802693,25437.119799999997,18294.728094691432,3250.4398335157707,12142.002100000002,17297.896509326634,3404.041462096004
112,9863.9153,15266.3136947866,3292.2551791537544,25426.600099999996,18284.13035677396,3279.7036515796467,12280.706600000001,17256.935477648123,3434.3316466677925
113,9752.311199999998,15286.989950569685,3321.3986776958823,25850.37389999999,18184.395583151883,3308.970543133094,12652.306600000002,17391.99257424492,3465.347928393972
114,9750.8427,15287.919433562427,3350.393373822303,26271.520199999995,18072.332866089866,3338.272786248815,12622.7847,17410.62609210453,3495.5752759924844
115,9377.1279,15063.239725375699,3379.6063758397336,26322.516399999997,18112.73511753029,3367.423821782203,12512.198600000002,17454.221259368293,3526.583306934857
116,9812.127799999998,15414.868688411238,3408.707371461902,26699.112499999996,17955.60515681398,3396.7945937180752,12415.355300000001,17495.466631935626,3557.59992979816
117,9997.6916,15705.76385005134,3437.7804044425693,26997.2871,17976.010240153584,3426.0553054695465,12068.0301,17390.149708961824,3588.3460889995304
118,10131.0608,15676.91201396555,3466.8504090958445,27411.817900000002,17829.626277439824,3455.286640042087,12068.175500000001,17390.050260174372,3618.927841728291
119,10466.294299999998,15880.996857143022,3496.1614718804535,27839.2371,17682.565172879997,3484.5148897820322,12068.211800000005,17390.02538773848,3649.480614937323
120,10439.526299999998,15895.852649946379,3525.0093957104855,27703.235400000005,17651.18549598867,3513.985153234976,11697.7871,17244.249321569165,3679.718582026022
121,10560.699499999997,15863.203415831078,3554.161869449189,28065.4409,17453.77085830154,3542.994954220312,11789.9576,17379.169788999192,3710.423481149247
122,10500.367399999997,15891.131667771848,3583.5086668404906,28503.7719,17293.148193425033,3572.308630866578,11790.0119,17379.13341284776,3740.8454018506377
123,10500.033899999999,15891.348568261594,3612.504050618579,28749.229499999998,17102.202457926134,3601.816497889456,12013.6028,17387.814513128385,3771.927004224231
124,10487.1577,15899.229587519822,3641.3095087368542,29172.149199999996,16910.737373752017,3630.971206790378,12449.2558,17645.963388075823,3801.8760670979077
125,10905.7668,16170.410471258043,3670.432198993924,29615.181,16719.981546349776,3659.936362918144,12187.4492,17631.868191628626,3832.2356347963837
126,11273.903999999999,16340.038967267914,3699.38909955222,29282.668200000004,16973.008233538887,3689.2211105749634,12615.530999999999,17853.466620155345,3863.1354417343796
127,10867.7901,16104.241896417076,3728.292650194004,29702.6727,16765.359228394114,3718.3387310047806,12602.782499999998,17861.922088458752,3893.2752616117746
128,11162.988700000002,16389.112490230375,3757.5349092381684,30138.0808,16555.420028899156,3747.405329913929,12955.8391,17961.383191533,3923.914450158426
129,10962.7376,16365.597626594279,3786.4378072501713,30136.5584,16558.183848234847,3776.809613694498,13330.8325,18081.058414432846,3954.249905276447
130,11058.537900000001,16330.143483467577,3815.6296031843817,30223.4903,16606.48727482886,3805.876711535602,13329.294199999998,18082.185811320112,3984.3708534609473
